category,wine,slug,sku,pack,on_hand,ready
BOTTLE,"Domaine des Comte Lafon Meursault 2023",domaine-des-comte-lafon-meursault-2023,714821,12/750,3.00,true
BOTTLE,"Domaine des Comte Lafon Meursault Clos de la Barre 2023",domaine-des-comte-lafon-meursault-clos-de-la-barre-2023,714824,6/150,0.50,true
BOTTLE,"Domaine des Comte Lafon Meursault Clos de la Barre 2023",domaine-des-comte-lafon-meursault-clos-de-la-barre-2023,714823,12/750,6.00,true
BOTTLE,"Domaine des Comte Lafon Volnay 1er Cru Santenots du Milieu 2023",domaine-des-comte-lafon-volnay-1er-cru-santenots-du-milieu-2023,714839,6/1500,0.50,true
BOTTLE,"Domaine des Comte Lafon Volnay 1er Cru Santenots du Milieu 2023",domaine-des-comte-lafon-volnay-1er-cru-santenots-du-milieu-2023,714837,12/750,6.00,true
PURE,"Domaine des Epeneaux Auxey Duresses Rouge 2020",domaine-des-epeneaux-auxey-duresses-rouge-2020,712642*,6/750,10.00,true
PURE,"Domaine des Epeneaux Auxey Duresses Rouge 2020",domaine-des-epeneaux-auxey-duresses-rouge-2020,712646*,6/750,3.00,true
PURE,"Domaine des Epeneaux Pommard 1er Cru Clos des Epeneaux 2020",domaine-des-epeneaux-pommard-1er-cru-clos-des-epeneaux-2020,712649*,6/750,11.00,true
PURE,"Domaine des Epeneaux Pommard 1er Cru Clos des Epeneaux 2020",domaine-des-epeneaux-pommard-1er-cru-clos-des-epeneaux-2020,712645*,6/750,14.00,true
BOTTLE,"Domaine Guy Bocard Bourgogne Cote D'or Chardonnay 2023",domaine-guy-bocard-bourgogne-cote-d-or-chardonnay-2023,513722,12/750,18.00,true
BOTTLE,"Domaine Guy Bocard Bourgogne Cote D'or Chardonnay 2023",domaine-guy-bocard-bourgogne-cote-d-or-chardonnay-2023,513723,6/1500,1.00,true
BOTTLE,"Domaine Guy Bocard Meursault Vieilles Vignes 2023",domaine-guy-bocard-meursault-vieilles-vignes-2023,513724,12/750,11.83,true
BOTTLE,"Domaine Guy Bocard Meursault Vieilles Vignes 2023",domaine-guy-bocard-meursault-vieilles-vignes-2023,513725,6/1500,0.83,true
BOTTLE,"Domaine Jean-Luc Burguet Gevrey Chambertin Mes Favorites Vieilles Vignes 2022",domaine-jean-luc-burguet-gevrey-chambertin-mes-favorites-vieilles-vignes-2022,713912,12/750,15.00,true
BOTTLE,"Domaine Jean-Luc Burguet Gevrey Chambertin Mes Favorites Vieilles Vignes 2022",domaine-jean-luc-burguet-gevrey-chambertin-mes-favorites-vieilles-vignes-2022,713913,6/1500,1.83,true
BOTTLE,"Domaine Jean-Marc Pavelot Savigny les Beaune 1ER Cru la Dominode 2020",domaine-jean-marc-pavelot-savigny-les-beaune-1er-cru-la-dominode-2020,712033,12/750,6.00,true
BOTTLE,"Domaine Jean-Marc Pavelot Savigny les Beaune 1ER Cru la Dominode 2020",domaine-jean-marc-pavelot-savigny-les-beaune-1er-cru-la-dominode-2020,712034,6/1.5,2.00,true
BOTTLE,"Domaine Jean-Marc Pavelot Savigny les Beaune 1ER Cru la Dominode 2021",domaine-jean-marc-pavelot-savigny-les-beaune-1er-cru-la-dominode-2021,712040,12/750,7.08,true
BOTTLE,"Domaine Jean-Marc Pavelot Savigny les Beaune 1ER Cru la Dominode 2021",domaine-jean-marc-pavelot-savigny-les-beaune-1er-cru-la-dominode-2021,712041,6/1.5,2.00,true
BOTTLE,"Domaine Jean-Marc Pavelot Savigny les Beaune 1ER Cru la Dominode 2022",domaine-jean-marc-pavelot-savigny-les-beaune-1er-cru-la-dominode-2022,712054,6/1.5,3.83,true
BOTTLE,"Domaine Jean-Marc Pavelot Savigny les Beaune 1ER Cru la Dominode 2022",domaine-jean-marc-pavelot-savigny-les-beaune-1er-cru-la-dominode-2022,712053,12/750,7.75,true
BOTTLE,"Domaine Jean-Marc Pavelot Savigny les Beaune 2019",domaine-jean-marc-pavelot-savigny-les-beaune-2019,712020,24/375,1.09,true
BOTTLE,"Domaine Jean-Marc Pavelot Savigny les Beaune 2019",domaine-jean-marc-pavelot-savigny-les-beaune-2019,712019,12/750,0.33,true
BOTTLE,"Domaine Jean-Marc Pavelot Savigny les Beaune 2021",domaine-jean-marc-pavelot-savigny-les-beaune-2021,712036,12/750,52.58,true
BOTTLE,"Domaine Jean-Marc Pavelot Savigny les Beaune 2021",domaine-jean-marc-pavelot-savigny-les-beaune-2021,712037,24/375,3.00,true
BOTTLE,"Domaine Jean-Marc Pavelot Savigny les Beaune 2022",domaine-jean-marc-pavelot-savigny-les-beaune-2022,712047,12/750,12.83,true
BOTTLE,"Domaine Jean-Marc Pavelot Savigny les Beaune 2022",domaine-jean-marc-pavelot-savigny-les-beaune-2022,712048,24/375,2.75,true
PURE,"Domaine Jean Noel Gagnard Chassagne Montrachet 1er Cru les Chaumees 2018",domaine-jean-noel-gagnard-chassagne-montrachet-1er-cru-les-chaumees-2018,712988,12/750,2.00,true
